motif_name	AmnSINE1	Bov-tA1	Bov-tA2	Bov-tA3	HAL1	L2b	L3	LTR33A_	MER102b	MER21C	MER77B	MER81	MER89	MIR3	MLT1N2	Plat_L3	SINE2-1_BT	Tigger7
ETV1	0	8.9e-257	2.1e-784	7.5e-212	4.7e-006	7.1e-009	2.7e-006	0	0	0	0	0	0	7.1e-003	0	0	0	0
ETV2	0	5.0e-164	3.8e-162	5.3e-008	1.8e-003	6.6e-003	1.8e-001	0	0	0	0	0	0	1.5e-003	0	0	0	0
ETV3	0	0	0	0	0	9.1e-004	0	0	0	0	0	0	0	0	0	0	3.5e-001	0
ETV4	0	4.4e-016	7.4e-064	0	0	3.5e-007	6.0e-004	0	0	0	0	0	3.2e-003	0	0	0	0	0
ETV5	0	2.7e-112	1.1e-234	6.0e-044	2.6e-004	5.5e-004	2.8e-004	0	0	0	0	0	0	8.0e-009	0	0	3.8e-007	0
ETV6	0	5.2e-328	5.1e-622	2.4e-143	2.5e-009	2.3e-013	5.1e-005	0	0	0	0	0	0	6.4e-006	0	0	2.0e-006	0
EVX1	0	7.8e-035	4.0e-102	1.9e-022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVX2	0	2.7e-034	2.3e-107	1.4e-021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EWSR1-FLI1	0	0	8.6e-001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERD3L	0	0	3.2e-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEV	0	3.2e-179	1.4e-718	2.9e-206	2.1e-004	4.3e-008	5.6e-005	0	0	0	0	0	0	1.1e-007	0	0	0	0
FIGLA	0	9.2e-102	1.0e-283	8.0e-036	0	2.4e-001	0	0	0	0	0	0	0	0	0	0	2.1e-001	0
FOS	0	0	3.1e-101	0	0	9.2e-003	0	0	0	0	0	0	0	1.5e-002	0	0	0	6.8e-008
FOSB::JUN	0	0	6.9e-007	4.9e-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOSB::JUNB	0	6.7e-001	4.0e-062	0	0	4.7e-001	0	0	0	0	0	0	0	1.0e-001	0	0	0	4.1e-005
FOSB::JUNB(var.2)	0	5.1e-004	5.0e-021	5.4e-018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOS::JUN	0	0	4.1e-063	0	0	9.1e-001	0	0	0	0	0	0	0	0	0	0	0	3.0e-004
FOS::JUNB	0	4.5e-001	3.3e-078	0	0	0	0	0	0	0	0	0	0	3.0e-001	0	0	0	4.3e-006
FOS::JUND	0	1.9e-001	4.1e-078	0	0	2.1e-003	0	0	0	0	0	0	0	0	0	0	0	2.9e-004
FOS::JUN(var.2)	0	1.1e-003	1.6e-015	4.0e-012	0	0	0	0	0	0	0	0	0	1.4e-001	0	0	0	0
FOSL1	0	3.6e-020	5.4e-212	7.3e-030	0	0	3.1e-001	0	0	0	0	0	0	0	0	0	0	7.5e-003
FOSL1::JUN	0	3.7e-002	3.5e-080	6.6e-001	0	8.0e-001	0	0	0	0	0	0	0	0	0	0	0	2.9e-004
FOSL1::JUNB	0	3.1e-017	9.3e-233	3.7e-027	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0e-003
FOSL1::JUND	0	3.6e-022	3.1e-273	8.9e-029	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9e-002
FOSL1::JUND(var.2)	0	7.0e-013	9.4e-089	3.6e-019	0	0	0	0	0	0	0	0	0	5.6e-003	0	0	0	0
FOSL1::JUN(var.2)	0	6.9e-001	7.7e-017	8.3e-005	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4e-001
FOSL2	0	4.2e-036	1.6e-604	3.2e-110	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6e-007
FOSL2::JUN	0	0	5.2e-060	0	0	4.4e-001	0	0	0	0	0	0	0	0	0	0	0	3.6e-004
FOSL2::JUNB	0	7.3e-001	4.1e-060	0	0	2.3e-001	0	0	0	0	0	0	0	5.1e-002	0	0	0	3.9e-006
FOSL2::JUNB(var.2)	0	1.4e-001	1.8e-008	2.6e-002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOSL2::JUND	0	0	1.7e-057	0	0	6.2e-001	0	0	0	0	0	0	0	0	0	0	0	4.1e-005
FOSL2::JUND(var.2)	0	0	5.6e-006	1.1e-016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOSL2::JUN(var.2)	0	1.6e-001	9.2e-020	4.2e-005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXA1	0	9.6e-027	4.1e-081	1.3e-022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXA2	0	1.0e-014	1.2e-047	1.3e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXA3	0	2.5e-006	3.1e-043	3.2e-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXB1	0	2.9e-036	4.0e-131	6.1e-027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXC1	0	2.0e-038	8.7e-099	1.4e-031	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXC2	0	1.9e-038	1.0e-091	5.1e-036	0	0	0	0	0	0	0	0	0	0	0	0	8.3e-003	0
FOXD1	0	5.4e-017	8.3e-046	3.5e-016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXD2	0	6.0e-017	2.5e-071	2.4e-025	0	0	0	0	0	0	0	0	0	0	0	0	4.3e-001	0
Foxd3	0	2.3e-036	1.0e-101	2.5e-024	0	0	0	0	0	0	0	0	0	0	0	0	3.1e-005	0
FOXE1	0	0	3.0e-011	3.4e-005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxf1	0	4.1e-021	8.4e-067	5.1e-017	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXF2	0	2.9e-004	2.9e-016	1.3e-005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXG1	0	5.9e-002	3.5e-012	4.4e-005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXH1	0	0	0	1.7e-030	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXI1	0	1.7e-002	7.4e-021	2.1e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxj2	0	5.0e-026	2.4e-069	4.1e-016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxj3	0	2.2e-024	4.6e-062	9.0e-022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXK1	0	4.9e-003	8.3e-029	1.1e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXK2	0	1.7e-006	2.2e-036	8.5e-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXL1	0	3.0e-025	1.0e-090	1.8e-025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxl2	0	8.8e-036	1.2e-090	2.3e-022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXN3	0	8.6e-056	8.1e-181	7.2e-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxo1	0	9.5e-009	8.2e-036	6.0e-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXO3	0	5.0e-006	8.0e-028	1.1e-005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXO4	0	1.2e-011	7.0e-056	7.2e-019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
